Nivel,Nodo,Altura_media_mm,Area_mm2,X_mm,Y_mm,Z_mm
4,5,,,0.644844,0.242743,0.080000
4,5,,,0.646697,0.242743,0.081000
4,5,,,0.648550,0.242743,0.079000
4,5,,,0.650403,0.242743,0.072000
4,5,,,0.591107,0.244596,0.070000
4,5,,,0.592960,0.244596,0.071000
4,5,,,0.594813,0.244596,0.073000
4,5,,,0.596666,0.244596,0.074000
4,5,,,0.598519,0.244596,0.074000
4,5,,,0.600372,0.244596,0.074000
4,5,,,0.602225,0.244596,0.074000
4,5,,,0.604078,0.244596,0.074000
4,5,,,0.605931,0.244596,0.074000
4,5,,,0.607784,0.244596,0.074000
4,5,,,0.609637,0.244596,0.074000
4,5,,,0.611490,0.244596,0.074000
4,5,,,0.613343,0.244596,0.076000
4,5,,,0.615196,0.244596,0.077000
4,5,,,0.617049,0.244596,0.079000
4,5,,,0.618902,0.244596,0.081000
4,5,,,0.620755,0.244596,0.083000
4,5,,,0.622608,0.244596,0.084000
4,5,,,0.624461,0.244596,0.084000
4,5,,,0.626314,0.244596,0.083000
4,5,,,0.628167,0.244596,0.081000
4,5,,,0.630020,0.244596,0.080000
4,5,,,0.631873,0.244596,0.079000
4,5,,,0.633726,0.244596,0.076000
4,5,,,0.635579,0.244596,0.075000
4,5,,,0.637432,0.244596,0.076000
4,5,,,0.639285,0.244596,0.078000
4,5,,,0.641138,0.244596,0.082000
4,5,,,0.642991,0.244596,0.084000
4,5,,,0.644844,0.244596,0.085000
4,5,,,0.646697,0.244596,0.084000
4,5,,,0.648550,0.244596,0.079000
4,5,,,0.650403,0.244596,0.070000
4,5,,,0.589254,0.246449,0.070000
4,5,,,0.591107,0.246449,0.071000
4,5,,,0.592960,0.246449,0.072000
4,5,,,0.594813,0.246449,0.073000
4,5,,,0.596666,0.246449,0.074000
4,5,,,0.598519,0.246449,0.074000
4,5,,,0.600372,0.246449,0.073000
4,5,,,0.602225,0.246449,0.073000
4,5,,,0.604078,0.246449,0.073000
4,5,,,0.605931,0.246449,0.074000
4,5,,,0.607784,0.246449,0.074000
4,5,,,0.609637,0.246449,0.075000
4,5,,,0.611490,0.246449,0.075000
4,5,,,0.613343,0.246449,0.076000
4,5,,,0.615196,0.246449,0.077000
4,5,,,0.617049,0.246449,0.079000
4,5,,,0.618902,0.246449,0.080000
4,5,,,0.620755,0.246449,0.081000
